rep_number,initial_mse_avg_true,initial_bias_avg_true,initial_bias_squared_avg_true,initial_variance_avg_true,targeted_mse_avg_true,targeted_bias_avg_true,targeted_bias_squared_avg_true,targeted_variance_avg_true,km_mse_avg_true,km_bias_avg_true,km_bias_squared_avg_true,km_variance_avg_true,initial_covers_avg_true,targeted_covers_avg_true,km_covers_avg_true
0,0.0063679444561830344,0.06878377217957586,0.004731207315251795,0.0016367371409312399,0.0024054216316044905,0.025985642779575865,0.0006752536306677233,0.0017301680009367672,0.0019205893857598666,0.035792987179575866,0.0012811379312372823,0.0006394514545225844,0.52,0.86,0.5
1,0.002018976678883531,0.040150049179575875,0.0016120264491223614,0.0004069502297611696,0.001115950384588621,0.026737923779575862,0.0007149165680424084,0.00040103381654621266,0.0006773497499604576,0.006777379220424129,4.593286909743677e-05,0.0006314168808630209,1.0,1.0,0.96
2,0.00019855164766424894,0.008555406220424135,7.3194975596472e-05,0.00012535667206777694,0.000952629827482225,0.02869278037957587,0.0008232756459105739,0.0001293541815716511,0.00010772220775583034,0.003085183179575862,9.518355251537825e-06,9.820385250429252e-05,1.0,0.78,0.94
3,0.0011068626121840124,0.027014170779575866,0.0007297654229080905,0.0003770971892759218,0.00045690615468931613,0.01938897637957587,0.000375932405047751,8.097374964156516e-05,0.0020888694409405607,0.03581355362042413,0.001282610622922994,0.0008062588180175667,1.0,1.0,0.42
4,0.0019029498765927853,0.038905969179575874,0.0015136744378021077,0.00038927543879067753,0.0009662108920539064,0.00582703202042413,3.395430216704811e-05,0.0009322565898868583,0.0002668936792426123,0.0016882751795758643,2.850273081971917e-06,0.0002640434061606404,1.0,0.76,0.98
5,0.001549238851913278,0.017529099220424137,0.00030726931947947406,0.001241969532433804,0.0017741547864567621,0.024036988820424127,0.0005777768315531945,0.0011963779549035677,0.008208225921836605,0.07284998722042414,0.005307120638015961,0.0029011052838206442,0.66,0.6,0.34
6,0.0012449860221675627,0.029835353820424137,0.0008901483375898971,0.0003548376845776656,0.0005716011538985182,0.013237443820424133,0.00017522991889888507,0.0003963712349996331,0.001100907498373484,0.028694512179575873,0.0008233750292238281,0.0002775324691496558,0.44,0.94,0.82
7,0.004189997856646607,0.049255799779575865,0.002426133811925666,0.001763864044720941,0.0011100053905470537,0.027798351379575866,0.0007727483394223675,0.0003372570511246863,0.0033661764817254796,0.04468424317957586,0.0019966815885314715,0.001369494893194008,0.68,1.0,0.5
8,0.0009190168974411178,0.025380069820424133,0.0006441479440896039,0.0002748689533515139,0.0007172803377746274,0.020361783220424128,0.00041460221591554556,0.00030267812185908187,0.00016091183062031379,0.009256820020424137,8.568871689052512e-05,7.522311372978867e-05,1.0,1.0,1.0
9,0.00279712099655416,0.012179336020424127,0.0001483362258984006,0.0026487847706557596,0.002874717061082429,0.007264265820424133,5.27695579097823e-05,0.0028219475031726468,0.001902728871272855,0.01555566857957587,0.00024197882495760397,0.001660750046315251,0.62,0.62,0.58
